candidate_id,chunk_id,document_id,page_number,evidence_relationship
CAND_AA64653A6632,CHK_A459571ED9D7,DOC_448A3EF9F119,1,EXTRACTED_FROM
CAND_EA06C1FB54B0,CHK_A459571ED9D7,DOC_448A3EF9F119,1,EXTRACTED_FROM
CAND_AAB86A183670,CHK_A459571ED9D7,DOC_448A3EF9F119,1,EXTRACTED_FROM
CAND_D5636457721A,CHK_2D3B4017A223,DOC_448A3EF9F119,1,EXTRACTED_FROM
CAND_E8DB0371DB97,CHK_2D3B4017A223,DOC_448A3EF9F119,1,EXTRACTED_FROM
CAND_CF886808384C,CHK_A0683D4E2B99,DOC_448A3EF9F119,1,EXTRACTED_FROM
CAND_B63D2BA1714A,CHK_FA4EE0CC4AD0,DOC_448A3EF9F119,2,EXTRACTED_FROM
CAND_336DA0EE42A0,CHK_FA4EE0CC4AD0,DOC_448A3EF9F119,2,EXTRACTED_FROM
CAND_C37CA0B1102E,CHK_FA4EE0CC4AD0,DOC_448A3EF9F119,2,EXTRACTED_FROM
CAND_221DA8AD9BD2,CHK_1D80558CC4E0,DOC_448A3EF9F119,2,EXTRACTED_FROM
CAND_4719E21835AD,CHK_1D80558CC4E0,DOC_448A3EF9F119,2,EXTRACTED_FROM
CAND_20037B285FBE,CHK_3087FAF53FC3,DOC_448A3EF9F119,3,EXTRACTED_FROM
CAND_BDAFAA42E6CC,CHK_3087FAF53FC3,DOC_448A3EF9F119,3,EXTRACTED_FROM
CAND_969EB30A8F40,CHK_3087FAF53FC3,DOC_448A3EF9F119,3,EXTRACTED_FROM
CAND_18E5F149653C,CHK_BE209D6EED21,DOC_448A3EF9F119,3,EXTRACTED_FROM
CAND_F44D41876E85,CHK_BE209D6EED21,DOC_448A3EF9F119,3,EXTRACTED_FROM
CAND_86B9EEAC80E9,CHK_A6C1041C7B26,DOC_448A3EF9F119,4,EXTRACTED_FROM
CAND_B6E0FD25A67B,CHK_A6C1041C7B26,DOC_448A3EF9F119,4,EXTRACTED_FROM
CAND_944A89471AAD,CHK_A6C1041C7B26,DOC_448A3EF9F119,4,EXTRACTED_FROM
CAND_CF8C283CBF98,CHK_790965F5BB58,DOC_448A3EF9F119,4,EXTRACTED_FROM
CAND_11320D5C734E,CHK_790965F5BB58,DOC_448A3EF9F119,4,EXTRACTED_FROM
CAND_BB287279C92A,CHK_B3A5131AD2B4,DOC_448A3EF9F119,5,EXTRACTED_FROM
CAND_34D1C3E41113,CHK_B3A5131AD2B4,DOC_448A3EF9F119,5,EXTRACTED_FROM
CAND_2710A59060FA,CHK_B3A5131AD2B4,DOC_448A3EF9F119,5,EXTRACTED_FROM
