source_node_id,target_node_id,relationship_type,governance_status
DRUG_ZANUBRUTINIB,CLM_9A0C1079EAD6,HAS_GENERIC_NAME,NOT_MLR_REVIEWED
DRUG_ZANUBRUTINIB,CLM_DAB8AF3FCA4E,HAS_BRAND_NAME,NOT_MLR_REVIEWED
DRUG_ZANUBRUTINIB,CLM_969067DB02D4,HAS_ROUTE,NOT_MLR_REVIEWED
DRUG_ZANUBRUTINIB,CLM_897156E235B6,HAS_FDA_APPLICATION,NOT_MLR_REVIEWED
DRUG_ZANUBRUTINIB,CLM_2B5297E80F47,STUDIED_IN,NOT_MLR_REVIEWED
DRUG_ZANUBRUTINIB,CLM_D962881F38A3,HAS_PUBLICATION,NOT_MLR_REVIEWED
DRUG_ZANUBRUTINIB,CLM_118DDEE7F473,HAS_PUBLICATION,NOT_MLR_REVIEWED
DRUG_ZANUBRUTINIB,CLM_57ACADA96115,HAS_RECOMMENDED_DOSAGE,NOT_MLR_REVIEWED
CLM_9A0C1079EAD6,SRC_LABEL_US,SUPPORTED_BY,DIRECT_SUPPORT
CLM_DAB8AF3FCA4E,SRC_LABEL_US,SUPPORTED_BY,DIRECT_SUPPORT
CLM_969067DB02D4,SRC_LABEL_US,SUPPORTED_BY,DIRECT_SUPPORT
CLM_897156E235B6,SRC_LABEL_US,SUPPORTED_BY,DIRECT_SUPPORT
CLM_2B5297E80F47,SRC_TRIAL_ALPINE,SUPPORTED_BY,DIRECT_SUPPORT
CLM_D962881F38A3,SRC_ALPINE_INTERIM,SUPPORTED_BY,DIRECT_SUPPORT
CLM_118DDEE7F473,SRC_ALPINE_CHINA,SUPPORTED_BY,DIRECT_SUPPORT
CLM_57ACADA96115,SRC_LABEL_US,SUPPORTED_BY,DIRECT_SUPPORT
SRC_LABEL_US,DOC_448A3EF9F119,REPRESENTED_BY_DOCUMENT,AUTHORITATIVE
SRC_ALPINE_INTERIM,DOC_21FF4F1370C5,REPRESENTED_BY_DOCUMENT,AUTHORITATIVE
SRC_ALPINE_CHINA,DOC_5D2D931F3757,REPRESENTED_BY_DOCUMENT,AUTHORITATIVE
