chunk_id,document_id,file_name,document_type,page_number,page_chunk_index,chunk_sequence,character_count,chunk_text
CHK_A459571ED9D7,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,1,1,1,1200,"BRUKINSA- zanubrutinib capsule BRUKINSA- zanubrutinib tablet, film coated BeOne Medicines USA, Inc. ---------- HIGHLIGHTS OF PRESCRIBING INFORMATION These highlights do not include all the information needed to use BRUKINSA safely and effectively. See full prescribing information for BRUKINSA. BRUKINSA (zanubrutinib) capsules, for oral use BRUKINSA (zanubrutinib) tablets, for oral use Initial U.S. Approval: 2019 INDICATIONS AND USAGE BRUKINSA is a kinase inhibitor indicated for the treatment of adult patients with: Mantle cell lymphoma (MCL) who have received at least one prior therapy. (1.1) This indication is approved under accelerated approval based on overall response rate. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial. Waldenström's macroglobulinemia (WM). (1.2) Relapsed or refractory marginal zone lymphoma (MZL) who have received at least one anti–CD20- based regimen. (1.3) This indication is approved under accelerated approval based on overall response rate. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory tr"
CHK_2D3B4017A223,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,1,2,2,1198,"approved under accelerated approval based on overall response rate. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial. Chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL). (1.4) Relapsed or refractory follicular lymphoma (FL), in combination with obinutuzumab, after two or more lines of systemic therapy. (1.5) This indication is approved under accelerated approval based on response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial. DOSAGE AND ADMINISTRATION Recommended dosage: 160 mg orally twice daily or 320 mg orally once daily with or without food; swallow whole with water. Tablets can be split in half as prescribed by the healthcare provider. (2.1) Reduce BRUKINSA dose in patients with severe hepatic impairment. (2.2, 8.7) Advise patients not to open, break, or chew capsules. (2.1) Advise patients not to chew or crush tablets. (2.1) Manage toxicity using treatment interruption, dose reduction, or discontinuation. (2.4) DOSAGE FORMS AND STRENGTHS Capsules: 80"
CHK_A0683D4E2B99,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,1,3,3,1075,"hew capsules. (2.1) Advise patients not to chew or crush tablets. (2.1) Manage toxicity using treatment interruption, dose reduction, or discontinuation. (2.4) DOSAGE FORMS AND STRENGTHS Capsules: 80 mg. (3) Tablets: 160 mg with functional scoring. (3) CONTRAINDICATIONS None. (4) WARNINGS AND PRECAUTIONS Hemorrhage: Monitor for bleeding and manage appropriately. (5.1) Infections: Monitor patients for signs and symptoms of infection, including opportunistic infections, and treat as needed. (5.2) Cytopenias: Monitor complete blood counts during treatment. (5.3) Second Primary Malignancies: Other malignancies have developed including skin cancers and non-skin carcinomas. Monitor and advise patients to use sun protection. (5.4) Cardiac Arrhythmias: Monitor for signs and symptoms of arrhythmias and manage appropriately. (5.5) Hepatotoxicity, Including Drug-Induced Liver Injury: Monitor hepatic function throughout treatment. (5.6) Embryo-Fetal Toxicity: Can cause fetal harm. Advise women of the potential risk to a fetus and to use effective contraception. (5.7) ® ®"
CHK_FA4EE0CC4AD0,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,2,1,4,1200,"ADVERSE REACTIONS The most common adverse reactions (≥30%), including laboratory abnormalities, are neutrophil count decreased, platelet count decreased, upper respiratory tract infection, hemorrhage, and musculoskeletal pain. (6.1) To report SUSPECTED ADVERSE REACTIONS, contact BeOne Medicines at 1-877-828-5596 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch. DRUG INTERACTIONS CYP3A Inhibitors: Modify BRUKINSA dose with moderate or strong CYP3A inhibitors as described. (2.3, 7.1) CYP3A Inducers: Avoid coadministration with strong or moderate CYP3A inducers. Dose adjustment may be recommended with moderate CYP3A inducers. (2.3, 7.1) USE IN SPECIFIC POPULATIONS Lactation: Advise not to breastfeed. (8.2) See 17 for PATIENT COUNSELING INFORMATION and FDA-approved patient labeling. Revised: 7/2026 FULL PRESCRIBING INFORMATION: CONTENTS* 1 INDICATIONS AND USAGE 1.1 Mantle Cell Lymphoma 1.2 Waldenström's Macroglobulinemia 1.3 Marginal Zone Lymphoma 1.4 Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma 1.5 Follicular Lymphoma 2 DOSAGE AND ADMINISTRATION 2.1 Recommended Dosage 2.2 Dosage Modification for Use in Hepatic Impairment 2.3 Dosage Modifications for Drug Interactions 2.4"
CHK_1D80558CC4E0,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,2,2,5,746,"Lymphocytic Lymphoma 1.5 Follicular Lymphoma 2 DOSAGE AND ADMINISTRATION 2.1 Recommended Dosage 2.2 Dosage Modification for Use in Hepatic Impairment 2.3 Dosage Modifications for Drug Interactions 2.4 Dosage Modifications for Adverse Reactions 3 DOSAGE FORMS AND STRENGTHS 4 CONTRAINDICATIONS 5 WARNINGS AND PRECAUTIONS 5.1 Hemorrhage 5.2 Infections 5.3 Cytopenias 5.4 Second Primary Malignancies 5.5 Cardiac Arrhythmias 5.6 Hepatotoxicity, Including Drug-Induced Liver Injury 5.7 Embryo-Fetal Toxicity 6 ADVERSE REACTIONS 6.1 Clinical Trials Experience 6.2 Postmarketing Experience 7 DRUG INTERACTIONS 7.1 Effect of Other Drugs on BRUKINSA 8 USE IN SPECIFIC POPULATIONS 8.1 Pregnancy 8.2 Lactation 8.3 Females and Males of Reproductive Potential"
CHK_3087FAF53FC3,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,3,1,6,1200,"8.4 Pediatric Use 8.5 Geriatric Use 8.6 Renal Impairment 8.7 Hepatic Impairment 11 DESCRIPTION 12 CLINICAL PHARMACOLOGY 12.1 Mechanism of Action 12.2 Pharmacodynamics 12.3 Pharmacokinetics 13 NONCLINICAL TOXICOLOGY 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility 14 CLINICAL STUDIES 14.1 Mantle Cell Lymphoma 14.2 Waldenström's Macroglobulinemia 14.3 Marginal Zone Lymphoma 14.4 Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma 14.5 Follicular Lymphoma 16 HOW SUPPLIED/STORAGE AND HANDLING 17 PATIENT COUNSELING INFORMATION * FULL PRESCRIBING INFORMATION 1 INDICATIONS AND USAGE 1.1 Mantle Cell Lymphoma BRUKINSA is indicated for the treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy. This indication is approved under accelerated approval based on overall response rate [see Clinical Studies (14.1)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial. 1.2 Waldenström's Macroglobulinemia BRUKINSA is indicated for the treatment of adult patients with Waldenström's macroglobulinemia (WM) [see Clinical Studies (14.2)]. 1.3 Marginal Zone Ly"
CHK_BE209D6EED21,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,3,2,7,716,atory trial. 1.2 Waldenström's Macroglobulinemia BRUKINSA is indicated for the treatment of adult patients with Waldenström's macroglobulinemia (WM) [see Clinical Studies (14.2)]. 1.3 Marginal Zone Lymphoma BRUKINSA is indicated for the treatment of adult patients with relapsed or refractory marginal zone lymphoma (MZL) who have received at least one anti–CD20-based regimen. This indication is approved under accelerated approval based on overall response rate [see Clinical Studies (14.3)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial. Sections or subsections omitted from the full prescribing information are not listed.
CHK_A6C1041C7B26,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,4,1,8,1200,"1.4 Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma BRUKINSA is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) [see Clinical Studies (14.4)]. 1.5 Follicular Lymphoma BRUKINSA is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL), in combination with obinutuzumab, after two or more lines of systemic therapy. This indication is approved under accelerated approval based on response rate and durability of response [see Clinical Studies (14.5)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial. 2 DOSAGE AND ADMINISTRATION 2.1 Recommended Dosage The recommended dosage of BRUKINSA for monotherapy or in combination with obinutuzumab is 160 mg taken orally twice daily or 320 mg taken orally once daily until disease progression or unacceptable toxicity. Capsule Administration Instructions Administer BRUKINSA capsules with or without food [see Clinical Pharmacology (12.3)]. Advise patients to swallow capsules whole with water and not to open, break, or chew capsules. Tablet Ad"
CHK_790965F5BB58,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,4,2,9,1200,"tructions Administer BRUKINSA capsules with or without food [see Clinical Pharmacology (12.3)]. Advise patients to swallow capsules whole with water and not to open, break, or chew capsules. Tablet Administration Instructions Administer BRUKINSA tablets with or without food [see Clinical Pharmacology (12.3)]. Advise patients to swallow tablets whole with water and not to chew or crush the tablets. The tablets can be split in half as prescribed by the healthcare provider. Missed Dose If a dose of BRUKINSA is missed, it should be taken as soon as possible on the same day with a return to the normal schedule the following day. 2.2 Dosage Modification for Use in Hepatic Impairment The recommended dosage of BRUKINSA for patients with severe hepatic impairment (Child-Pugh class C) is 80 mg orally twice daily; no dosage modification is recommended for patients with mild or moderate hepatic impairment (Child-Pugh class A or B) [see Use in Specific Populations (8.7) and Clinical Pharmacology (12.3)]. 2.3 Dosage Modifications for Drug Interactions Recommended dosage modifications of BRUKINSA for drug interactions are provided in Table 1 [see Drug Interactions (7.1)]. Table 1: Dosage Modifica"
CHK_09448B4282C4,DOC_448A3EF9F119,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,APPROVED_LABEL,4,3,10,238,2.3)]. 2.3 Dosage Modifications for Drug Interactions Recommended dosage modifications of BRUKINSA for drug interactions are provided in Table 1 [see Drug Interactions (7.1)]. Table 1: Dosage Modifications for Use with CYP3A Inhibitors or
