entity_id,identifier_type,identifier_value
DRUG_ZANUBRUTINIB,UNII,AG9MHG098Z
DRUG_ZANUBRUTINIB,CAS_NUMBER,1691249-45-2
DRUG_ZANUBRUTINIB,PUBCHEM_CID,135565884
DRUG_ZANUBRUTINIB,DRUGBANK_ID,DB15035
DRUG_ZANUBRUTINIB,ATC_CODE,L01EL03
DRUG_ZANUBRUTINIB,FDA_APPLICATION,NDA 213217
DRUG_ZANUBRUTINIB,DAILYMED_SET_ID,3e08fe23-d70e-424c-bc51-1222e320f902
DRUG_ZANUBRUTINIB,CLINICAL_TRIAL_ID,NCT03734016
DRUG_ZANUBRUTINIB,PMCID_INTERIM,PMC9928683
DRUG_ZANUBRUTINIB,PMCID_CHINA,PMC11512864
DRUG_ZANUBRUTINIB,PMCID_FINAL,PMC11738031
